Campaign ID,First Name,Campaign Type,Marketing Channel,Start Date,End Date,Budgeted cost,Impressions,Clicks,CTR %,Leads Generated,Qualified Leads,Opportunities Created,Conversions,Conversion Rate %,Revenue Generated,ROI %,Cost Per Lead (CPL),Cost Per Acquisition (CPA),Assigned Marketing Manager,Campaign Status,Customer Segment,Region,Actual Spend,Channel,UTM  Campaign,UTM Source,UTM Medium
CMP-069,Campaign 69,Search Ads,Facebook,2026-05-27,2026-07-01,31214,55110,17838,32.37,263,153,45,41,15.59,81824.24,162.14,118.68,761.32,Rahul Mehta,Planned,Enterprise,North,31214,paid social,Campaign 69,google,cpc
CMP-070,Campaign 70,Search Ads,Instagram,2026-01-24,2026-02-18,29095,50377,3829,7.6,766,565,505,378,49.35,106702.99,266.74,37.98,76.97,Priya Singh,Planned,Retail,South,29095,webinar,Campaign 70,google,cpc
CMP-071,Campaign 71,Product Launch,Instagram,2026-01-17,2026-03-10,49918,427286,8498,1.99,339,259,196,170,50.15,155128.23,210.77,147.25,293.64,Aman Verma,Completed,Enterprise,North,49918,event,Campaign 71,google,cpc
CMP-072,Campaign 72,Social Media,Google Ads,2026-06-25,2026-08-10,25504,376408,7738,2.06,270,253,143,110,40.74,123712.82,385.07,94.46,231.85,Aisha Khan,Completed,Enterprise,East,25504,referral,Campaign 72,google,cpc
CMP-073,Campaign 73,Email,Instagram,2026-01-01,2026-02-03,27417,195506,8925,4.57,208,143,64,35,16.83,177913.99,548.92,131.81,783.34,Priya Singh,Planned,Healthcare,West,27417,email,Campaign 73,google,cpc
CMP-074,Campaign 74,Search Ads,Google Ads,2026-05-05,2026-06-15,18545,61077,9268,15.17,536,513,451,403,75.19,93286.91,403.03,34.6,46.02,Rahul Mehta,Completed,SMB,West,18545,paid search,Campaign 74,google,cpc
CMP-075,Campaign 75,Email,Instagram,2026-05-06,2026-07-02,36232,343477,13213,3.85,233,103,96,58,24.89,155026.9,327.87,155.5,624.69,Aisha Khan,In Progress,Retail,North,36232,paid social,Campaign 75,google,cpc
CMP-076,Campaign 76,Email,Referral,2026-05-05,2026-05-30,34050,472988,12973,2.74,424,176,74,48,11.32,94357.18,177.11,80.31,709.38,Aman Verma,In Progress,Retail,South,34050,webinar,Campaign 76,google,cpc
CMP-077,Campaign 77,Webinar,Facebook,2026-06-15,2026-08-04,43729,399522,5236,1.31,491,304,106,93,18.94,127626.04,191.86,89.06,470.2,Rahul Mehta,In Progress,Enterprise,South,43729,event,Campaign 77,google,cpc
CMP-078,Campaign 78,Webinar,Google Ads,2026-05-16,2026-07-15,25013,416934,8153,1.96,718,494,293,247,34.4,184713.36,638.47,34.84,101.27,Neha Sharma,Completed,SMB,North,25013,referral,Campaign 78,google,cpc
CMP-079,Campaign 79,Product Launch,Instagram,2026-03-02,2026-04-07,45182,171607,11550,6.73,234,163,152,115,49.15,325293.6,619.96,193.09,392.89,Aman Verma,Completed,SMB,East,45182,email,Campaign 79,google,cpc
CMP-080,Campaign 80,Product Launch,Email,2026-04-11,2026-06-10,21858,97708,13238,13.55,235,147,82,53,22.55,101054.87,362.32,93.01,412.42,Rahul Mehta,Completed,Retail,West,21858,paid search,Campaign 80,google,cpc
CMP-081,Campaign 81,Email,Referral,2026-02-22,2026-04-17,40493,423757,7493,1.77,166,151,64,43,25.9,178409.68,340.59,243.93,941.7,Rahul Mehta,In Progress,Retail,Central,40493,paid social,Campaign 81,google,cpc
CMP-082,Campaign 82,Search Ads,Google Ads,2026-04-13,2026-05-03,6209,125219,8118,6.48,525,386,128,96,18.29,43605.46,602.29,11.83,64.68,Priya Singh,Completed,Education,Central,6209,webinar,Campaign 82,google,cpc
CMP-083,Campaign 83,Product Launch,Google Ads,2026-05-18,2026-06-20,26393,359602,5954,1.66,182,104,67,44,24.18,112839.8,327.54,145.02,599.84,Rahul Mehta,In Progress,Enterprise,North,26393,event,Campaign 83,google,cpc
CMP-084,Campaign 84,Webinar,LinkedIn,2026-03-07,2026-04-23,14308,131231,4784,3.65,798,597,233,123,15.41,109148.36,662.85,17.93,116.33,Priya Singh,Planned,Education,Central,14308,referral,Campaign 84,google,cpc
CMP-085,Campaign 85,Search Ads,Google Ads,2026-02-02,2026-03-09,18793,334570,13905,4.16,686,533,341,223,32.51,123945.8,559.53,27.4,84.27,Priya Singh,Completed,Healthcare,South,18793,email,Campaign 85,google,cpc
CMP-086,Campaign 86,Search Ads,Facebook,2026-06-16,2026-07-09,34281,399128,14854,3.72,397,228,205,158,39.8,96534.07,181.6,86.35,216.97,Neha Sharma,Completed,Enterprise,East,34281,paid search,Campaign 86,google,cpc
CMP-087,Campaign 87,Search Ads,Google Ads,2026-04-17,2026-06-16,14893,404749,8398,2.07,592,499,464,235,39.7,89520.45,501.09,25.16,63.37,Aisha Khan,Completed,Enterprise,Central,14893,paid social,Campaign 87,google,cpc
CMP-088,Campaign 88,Email,Google Ads,2026-06-20,2026-08-08,36103,89453,11271,12.6,628,480,369,335,53.34,123472.03,242,57.49,107.77,Neha Sharma,Planned,SMB,North,36103,webinar,Campaign 88,google,cpc
CMP-089,Campaign 89,Search Ads,Facebook,2026-04-24,2026-05-29,33626,155010,13588,8.77,371,303,237,230,61.99,104558.01,210.94,90.64,146.2,Aisha Khan,In Progress,Healthcare,South,33626,event,Campaign 89,google,cpc
CMP-090,Campaign 90,Webinar,Email,2026-02-03,2026-03-09,49854,329975,8405,2.55,129,52,16,9,6.98,193118.65,287.37,386.47,5539.33,Aman Verma,In Progress,Retail,West,49854,referral,Campaign 90,google,cpc
CMP-091,Campaign 91,Social Media,Referral,2026-01-07,2026-02-07,7535,165213,7081,4.29,205,128,54,47,22.93,16165.04,114.53,36.76,160.32,Neha Sharma,Planned,Healthcare,West,7535,email,Campaign 91,google,cpc
CMP-092,Campaign 92,Search Ads,Referral,2026-05-05,2026-05-20,42412,284908,17955,6.3,335,190,131,105,31.34,245131.46,477.98,126.6,403.92,Aisha Khan,Completed,Enterprise,South,42412,paid search,Campaign 92,google,cpc
CMP-093,Campaign 93,Webinar,Referral,2026-03-25,2026-05-09,30128,379764,9076,2.39,107,92,27,25,23.36,69981.19,132.28,281.57,1205.12,Rahul Mehta,In Progress,Healthcare,North,30128,paid social,Campaign 93,google,cpc
CMP-094,Campaign 94,Email,Email,2026-02-04,2026-03-07,5289,251706,10918,4.34,490,462,284,228,46.53,11864.59,124.33,10.79,23.2,Rahul Mehta,Completed,Education,Central,5289,webinar,Campaign 94,google,cpc
CMP-095,Campaign 95,Product Launch,Email,2026-03-09,2026-04-08,41546,248679,2035,0.82,375,375,171,170,45.33,196369.98,372.66,110.79,244.39,Aman Verma,Completed,Healthcare,South,41546,event,Campaign 95,google,cpc
CMP-096,Campaign 96,Social Media,LinkedIn,2026-01-04,2026-02-02,22643,88495,16777,18.96,723,414,313,199,27.52,178010.65,686.16,31.32,113.78,Aisha Khan,Completed,Education,East,22643,referral,Campaign 96,google,cpc
CMP-097,Campaign 97,Email,LinkedIn,2026-05-02,2026-05-30,22421,333497,845,0.25,334,134,111,90,26.95,70434.67,214.15,67.13,249.12,Aisha Khan,In Progress,Healthcare,East,22421,email,Campaign 97,google,cpc
CMP-098,Campaign 98,Product Launch,Email,2026-03-08,2026-04-20,18246,196019,12768,6.51,117,93,35,19,16.24,44244.2,142.49,155.95,960.32,Neha Sharma,Completed,SMB,South,18246,paid search,Campaign 98,google,cpc
CMP-099,Campaign 99,Social Media,Instagram,2026-05-29,2026-07-17,37382,312413,6837,2.19,612,285,282,278,45.42,100380.64,168.53,61.08,134.47,Rahul Mehta,Planned,Retail,South,37382,paid social,Campaign 99,google,cpc
CMP-100,Campaign 100,Event,Instagram,2026-02-07,2026-02-25,38670,370258,15795,4.27,269,219,217,146,54.28,173715,349.22,143.75,264.86,Rahul Mehta,Completed,Healthcare,East,38670,webinar,Campaign 100,google,cpc
